id,Security_Code,Security_Id,Security_Name
254,539314,UNIAUTO,Universal Autofoundry 
255,532378,UNIVARTS,UNIVERSAL ARTS
256,532746,UNITY,UNITY INFRAPROJECTS
257,522091,UVDRHOR,UNITED VAN DER HORST
258,521188,UNITEDTE,UNITED TEXTILES
259,532432,UNITDSPR,UNITED SPIRITS
260,507808,UNTTEMI,UNITED LEASING INDUSTRIES
261,502893,UNITEDINT,UNITED INTERACTIVE
262,522014,UNIDT,UNITED DRILLING TOOLS
263,531091,UNITDCR,UNITED CREDIT
264,532478,UBL,UNITED BREWERIES
265,531867,UNITINT,UNITECH INTERNATIONAL
266,507878,UNITECH,UNITECH
267,532035,UNISTRMU,UNISTAR MULTIMEDIA
268,538610,UNISON,Unison Metals 
269,537582,UNISHIRE,Unishire Urban Infra 
270,526113,UNRYLMA,UNIROYAL MARINE EXPORTS
271,521226,UNIROYAL,UNIROYAL INDUSTRIES
272,530997,UNIQUEO,UNIQUE ORGANICS
273,500429,UNIPHOS,UNIPHOS ENTERPRISES
274,526799,UNQTYMI,UNION QUALITY PLASTICS
275,532477,UNIONBANK,UNION BANK OF INDIA
276,512595,UNIMOVR,UNIMODE OVERSEAS
277,503671,UNIJOLL,UNIJOLLY INVESTMENTS CO
278,541503,UNICK,Unick FixAForm And Printers 
279,506690,UNICHEMLAB,UNICHEM LABORATORIES
280,504605,UNIABEXAL,UNI ABEX ALLOY PRODUCTS
281,539798,UMIYA,Umiya Tubes 
282,500231,UMANGDAIR,UMANG DAIRIES
283,532538,ULTRACEMCO,ULTRATECH CEMENT
284,506685,ULTRAMAR,ULTRAMARINE PIGMENTS
285,538706,ULTRACAB,Ultracab India 
286,542904,UJJIVANSFB,Ujjivan Small Finance Bank 
287,539874,UJJIVAN,Ujjivan Financial Services 
288,533644,UJAAS,Ujaas Energy 
289,511742,UGROCAP,Ugro Capital 
290,530363,UGARSUGAR,UGAR SUGAR WORKS
291,539141,UFO,UFO Moviez India 
292,500148,UFLEX,UFLEX
293,539518,UDAYJEW,Uday Jewellery Industries 
294,530131,UDAICEMENT,UDAIPUR CEMENT WORKS
295,532505,UCOBANK,UCO BANK
296,500464,UCALFUEL,UCAL FUEL SYSTEMS
297,530579,UYFINCORP,U Y Fincorp 
298,541338,UHZAVERI,U H Zaveri 
299,526945,TYROON,TYROON TEA CO
300,539468,TFSL,Typhoon Financial Services 
301,532384,TYCHE,TYCHE INDUSTRIES
302,531917,TWINSTAR,Twinstar Industries 
303,512117,TWIROST,TWIN ROSES TRADES AGENCIES
304,526921,21STCENMGM,TWENTYFIRST CENTURY MANAGEMENT SERVICES
305,509243,TVSSRICHAK,TVS SRICHAKRA
306,532343,TVSMOTOR,TVS MOTOR COMPANY
307,532513,TVSELECT,TVS ELECTRONICS
308,532800,TV18BRDCST,TV18 BROADCAST
309,540083,TVVISION,TV Vision 
310,532515,TVTODAY,TV TODAY NETWORK
311,506808,TUTIALKA,TUTICORIN ALKALI CHEMICALS FERTILISERS
312,531411,TUNITEX,TUNI TEXTILE MILLS
313,505285,TULIVE,Tulive Developers 
314,524514,TULASEEBIOE,TULASEE BIOETHANOL
315,540762,TIINDIA,Tube Investments of India 
316,514236,TTLEL,TTL Enterprises 
317,517506,TTKPRESTIG,TTK PRESTIGE
318,507747,TTKHEALTH,TTK HEALTHCARE
319,538597,TTIENT,TTI Enterprise 
320,532444,TSPIRITUAL,TSPIRITUAL WORLD
321,538579,TRIVIKRAMA,Trivikrama Industries 
322,533655,TRITURBINE,TRIVENI TURBINE
323,502281,TRIVENIGQ,TRIVENI GLASS
324,538569,TRIVENIENT,Triveni Enterprises 
325,532356,TRIVENI,TRIVENI ENGINEERING INDUSTRIES
326,505978,TRITONV,TRITON VALVES
327,531279,TRISHAKT,TRISHAKTI ELECTRONICS INDUSTRIES
328,512101,TRIPR,TRIOCHEM PRODUCTS
329,534755,TRIOMERC,TRIO MERCANTILE TRADING
330,531846,TRINITYLEA,TRINITY LEAGUE INDIA
331,536565,TRIMURTHI,Trimurthi 
332,531658,TRIJAL,TRIJAL INDUSTRIES
333,517562,TRIGYN,TRIGYN TECHNOLOGIES
334,531972,TRIDETOOL,TRIDENT TOOLS
335,540726,TTFL,Trident Texofab 
336,521064,TRIDENT,TRIDENT
337,531716,TRICOMFRU,Tricom Fruit Products 
338,534369,TBZ,TRIBHOVANDAS BHIMJI ZAVERI
339,505854,TRF,TRF
340,532159,TRESCON,Trescon 
341,500251,TRENT,TRENT
342,542233,TREJHARA,Trejhara Solutions 
343,533540,TREEHOUSE,TREE HOUSE EDUCATION ACCESSORIES
344,511730,TRCFIN,TRC FINANCIAL SERVICES
345,532812,TFL,TRANSWARRANTY FINANCE
346,532349,TCI,TRANSPORT CORPORATION OF INDIA
347,506687,TRANSPEK,TRANSPEK INDUSTRY
348,509003,TRANOCE,TRANSOCEANIC PROPERTIES
349,519367,TRANSFD,TRANSGLOBE FOODS
350,526139,TRABI,TRANSGENE BIOTEK
351,513063,TRANSFRE,TRANSFREIGHT CONTAINERS
352,532928,TRIL,TRANSFORMERS AND RECTIFIERS INDIA
353,532410,TRANSCOR,TRANSCORP INTERNATIONAL
354,500422,TRANSCHEM,TRANSCHEM
355,526961,TRANSFIN,TRANS FINANCIAL RESOURCES
356,530783,TRANSASIA,TRANS ASIA CORPORATION
357,509953,TRADWIN,TRADE WINGS
358,526582,TPLPLAST,TPL PLASTECH
359,538607,TOYAMIND,Toyam Industries 
360,531771,TOWASOK,TOWA SOKKI
361,526650,TFCILTD,TOURISM FINANCE CORPORATION OF INDIA
362,532779,TORNTPOWER,TORRENT POWER
363,500420,TORNTPHARM,TORRENT PHARMACEUTICALS
364,500418,TOKYOPLAST,TOKYO PLAST INTERNATIONAL
365,531644,TOKYOFIN,TOKYO FINANCE
366,522171,TMTINDB1,TMT INDIA
367,511096,TVOLCON,TIVOLI CONSTRUCTION
368,530045,TITANSEC,TITAN SECURITIES
369,500114,TITAN,Titan Company 
370,524717,TITANBIO,TITAN BIOTECH
371,532966,TWL,TITAGARH WAGONS
372,539985,TITAANIUM,Titaanium Ten Enterprise 
373,539040,TTIL,Tirupati Tyres 
374,524582,TIRUSTA,TIRUPATI STARCH CHEMICALS
375,531814,TIRSARJ,TIRUPATI SARJAN
376,540904,TIRUFOAM,Tirupati Foam 
377,539488,TFLL,Tirupati Finlease 
378,532375,TIPSINDLTD,TIPS INDUSTRIES
379,504966,TINPLATE,TINPLATE COMPANY OF INDIA
380,541741,TINNATFL,Tinna Trade 
381,530475,TINNARUBR,Tinna Rubber and Infrastructure 
382,522113,TIMKEN,TIMKEN INDIA
383,700091,TIMEXPS,Timex Group India 
384,500414,TIMEX,TIMEX GROUP INDIA
385,511559,TIMESGTY,TIMES GUARANTY
386,532856,TIMETECHNO,TIME TECHNOPLAST
387,507205,TI,TILAKNAGAR INDUSTRIES
388,503663,TILAK,Tilak Ventures 
389,505196,TIL,TIL
390,533629,TIJARIA,TIJARIA POLYPIPES
391,536264,TIGERLOGS,Tiger Logistics India 
392,590005,TIDEWATER,TIDE WATER OIL INDIA
393,540108,TIAANC,Tiaan Consumer 
394,539871,THYROCARE,Thyrocare Technologies 
395,533941,THOMASCOTT,THOMAS SCOTT INDIA 
396,500413,THOMASCOOK,THOMAS COOK INDIA
397,500412,TIRUMALCHM,THIRUMALAI CHEMICALS
398,507450,THIRUSUGAR,THIRU AROORAN SUGARS
399,531652,THIRDFIN,THIRDWAVE FINANCIAL INTERMEDIARIES
400,538464,TPROJECT,Thirani Projects 
401,539310,THINKINK,Thinkink Picturez 
402,500411,THERMAX,THERMAX
403,530199,THEMISMED,THEMIS MEDICARE
404,540980,YSL,The Yamuna Syndicate 
405,500260,RAMCOCEM,The Ramco Cements 
406,542123,PHOSPHATE,The Phosphate Company 
407,503100,PHOENIXLTD,The Phoenix Mills 
408,540769,NIACL,The New India Assurance Company 
409,540210,TMRVL,The Mandhana Retail Ventures 
410,530023,THEINVEST,The Investment Trust Of India 
411,540954,IWP,The Indian Wood Products Company 
412,522073,HITECHGEAR,The HiTech Gears 
413,531373,THEBYKE,THE BYKE HOSPITALITY
414,542460,ANUP,The Anup Engineering 
415,533158,THANGAMAYL,Thangamayil Jewellery 
416,514484,THAMBBI,THAMBBI MODERN SPINNING MILLS
417,509015,THAKRAL,THAKRAL SERVICES INDIA
418,526654,THAKDEV,THAKKERS DEVELOPERS
419,509945,THACKER,THACKER CO
420,507753,TGVSL,TGV Sraac 
421,532845,TGBHOTELS,TGB BANQUETS AND HOTELS
422,533164,TEXMOPIPES,TEXMO PIPES PRODUCTS
423,533326,TEXRAIL,TEXMACO RAIL ENGINEERING
424,505400,TEXINFRA,TEXMACO INFRASTRUCTURE HOLDINGS
425,526638,TEXELIN,TEXEL INDUSTRIES
426,513305,TERRASCOPE,Terrascope Ventures 
427,512157,TERRAREAL,Terraform Realstate 
428,506162,TERRAFORM,TERRAFORM MAGNUM
429,530533,TERAI,TERAI TEA CO
430,533982,TERASOFT,TERA SOFTWARE
431,530595,TELECANOR,TELECANOR GLOBAL
432,539428,TEJNAKSH,Tejnaksh Healthcare 
433,531628,TEJASSVI,Tejassvi Aaharam 
434,540595,TEJASNET,Tejas Networks 
435,501421,TECHNVISN,TECHNVISION VENTURES
436,509917,TECHCON,TECHNOJET CONSULTANTS
437,533216,TECHNOFAB,TECHNOFAB ENGINEERING 
438,532804,TIIL,TECHNOCRAFT INDUSTRIES INDIA
439,542141,TECHNOE,Techno Electric Engineering Company 
440,526576,TECHIN,TECHINDIA NIRMAN 
441,532755,TECHM,TECH MAHINDRA
442,539658,TEAMLEASE,TeamLease Services 
443,512011,TEATIME,TEA TIME
444,523301,TCPLPACK,TCPL PACKAGING
445,541700,TCNSBRANDS,TCNS Clothing Co 
446,524156,TCMLMTD,TCM
447,532262,TCIIND,TCI INDUSTRIES
448,501242,TCIFINANCE,TCI FINANCE
449,540212,TCIEXP,TCI Express 
450,533393,TCIDEVELOP,TCI DEVELOPERS
451,532284,TCFCFINQ,TCFC FINANCE
452,504961,TATAYODOGA,TAYO ROLLS
453,541228,TRL,Taylormade Renewables 
454,531190,TAVERNIER,Tavernier Resources Limi
455,521228,TATIAGLOB,TATIA GLOBAL VENNTURE
456,541678,TVF1G,Tata Vaue Fund Series 1 Regular Plan Growth Option
457,541676,TVF1D,Tata Vaue Fund Series 1 Regular Plan Dividend Payout Option
458,541679,TVF1GZ,Tata Vaue Fund Series 1 Direct Plan Growth Option
459,541677,TVF1DZ,Tata Vaue Fund Series 1 Direct Plan Dividend Payout Option
460,541744,TVF2G,TATA Value Fund Series 2 Regular Plan Growth Option
461,541742,TVF2D,TATA Value Fund Series 2 Regular Plan Dividend Payout Option
462,541745,TVF2GZ,TATA Value Fund Series 2 Direct Plan Growth Option
463,541743,TVF2DZ,TATA Value Fund Series 2 Direct Plan Dividend Payout Option
464,532371,TTML,TATA TELESERVICES MAHARASHTRA
465,513010,TATASTLLP,Tata Steel Long Products 
466,500055,TATASTLBSL,Tata Steel Bsl 
467,500470,TATASTEEL,TATA STEEL
468,500400,TATAPOWER,TATA POWER CO
469,570001,TATAMTRDVR,Tata Motors  DVR
470,500570,TATAMOTORS,TATA MOTORS
471,513434,TATAMETALI,TATA METALIKS
472,501301,TATAINVEST,TATA INVESTMENT CORPORATION
473,500408,TATAELXSI,TATA ELXSI
474,500800,TATACONSUM,Tata Consumer Products 
475,532540,TCS,TATA CONSULTANCY SERVICES
476,500483,TATACOMM,TATA COMMUNICATIONS
477,532301,TATACOFFEE,TATA COFFEE
478,500770,TATACHEM,TATA CHEMICALS
479,540955,TDSL,Tasty Dairy Specialities 
480,519091,TASTYBIT,TASTY BITE EATABLES
481,512271,TASHIND,TASHI INDIA
482,532869,TARMAT,TARMAT
483,538496,TARINI,Tarini International 
484,519285,TARAI,TARAI FOODS
485,505685,TAPARIA,TAPARIA TOOLS
486,540332,TANVI,Tanvi Foods India 
487,532738,TANTIACONS,TANTIA CONSTRUCTIONS
488,532790,TANLA,Tanla Platforms 
489,506854,TANFACIND,TANFAC INDUSTRIES
490,522229,TANAA,TANEJA AEROSPACE AVIATION
491,523419,TNTELE,TAMILNADU TELECOMMUNICATIONS
492,513540,TNSTLTU,TAMILNADU STEEL TUBES
493,500777,TNPETRO,TAMILNADU PETROPRODUCTS
494,531426,TNPL,TAMIL NADU NEWSPRINT PAPERS
495,533170,TAMBOLI,TAMBOLI CAPITAL
496,538987,TALBROSENG,Talbros Engineering 
497,505160,TALBROAUTO,TALBROS AUTOMOTIVE COMPONENTS
498,532890,TAKE,TAKE SOLUTIONS
499,532390,TAJGVK,TAJGVK HOTELS RESORTS
500,507785,TAINWALCHM,TAINWALA CHEMICALS PLASTICS INDIA
501,519483,TAIIND,TAI INDUSTRIES
502,537392,TAAZAINT,Taaza International 
503,539956,TAALENT,TAAL Enterprises 
504,514142,TTL,T T
505,522294,TIGLOB,T I GLOBAL
506,533553,TDPOWERSYS,T D POWER SYSTEMS
507,526506,SYSTMTXC,SYSTEMATIX CORPORATE SERVICES
508,531173,SYSCHEM,SYSCHEM INDIA
509,513307,SYNTHFO,SYNTHIKO FOILS
510,539268,SYNGENE,Syngene International 
511,541929,SGIL,Synergy Green Industries 
512,533157,SYNCOM,Syncom Healthcare 
513,524470,SYNCOMF,SYNCOM FORMULATIONS INDIA
514,517385,SYMPHONY,Symphony 
515,539278,SYMBIOX,Symbiox Investment Trading Company 
516,511447,SYLPH,SYLPH TECHNOLOGIES
517,539682,SESL,Sylph Education Solutions 
518,531499,SYBLY,SYBLY INDUSTRIES
519,512359,SWORDEDGE,SwordEdge Commercials 
520,517201,SWITCHTE,SWITCHING TECHNOLOGIES GUNTHER
521,532051,SWELECTES,Swelect Energy Systems 
522,530585,SWASTIKA,SWASTIKA INVESTMART
523,501386,ZSWASTSA,SWASTIK SAFE DEPOSIT INVESTMENTS
524,510245,SWASTIVI,SWASTI VINAYAKA SYNTHETICS
525,512257,SVARTCORP,Swasti Vinayaka Art And Heritage Corporation 
526,526365,SWARNSAR,Swarnsarita Gems 
527,531003,SWRNASE,SWARNA SECURITIES
528,500407,SWARAJENG,SWARAJ ENGINES
529,503310,SWANENERGY,SWAN ENERGY
530,539406,SWAGTAM,Swagtam Trading Services 
531,531909,SWAGRUHA,SWAGRUHA INFRASTRUCTURE
532,503816,SWADPOL,SWADESHI POLYTEX
533,506863,SWADEIN,SWADESHI INDUSTRIES LEASING CO
534,503659,SW1,SW Investments 
535,503622,ZSVTRADI,SVTRADING AGENCIES
536,539041,SVPHOUSING,SVP Housing 
537,505590,SVPGLOB,SVP GLOBAL VENTURES
538,524488,SVCIND,SVC INDUSTRIES 
539,539911,SNIM,Svarnim Trade Udyog 
540,503624,ZSVARAJT,SVARAJ TRADING AGENCIES
541,523722,SVAMSOF,SVAM SOFTWARE
542,531885,SVAINDIA,SVA INDIA
543,532667,SUZLON,SUZLON ENERGY
544,537259,SUYOG,Suyog Telematics 
545,531640,SICL,Suvidha Infraestate Corporation 
546,543064,SUVENPHAR,Suven Pharmaceuticals 
547,530239,SUVEN,SUVEN LIFE SCIENCES
